ticker,exchange,company,owner_raw,province,claims,total_ha,score,source,verified
MIS,CSE,Mistango River Resources Inc.,"(50) BALTIC RESOURCES INC., (50) FOX RIVER RESOURCES CORPORATION",ON,227,0,91,name,
MEK,TSXV,Metals Creek Resources Corp.,"(50) METALS CREEK RESOURCES CORP., (50) Dome Mine Ltd.",ON,53,0,91,name,
MLM,CSE,McFarlane Lake Mining Limited,"(75) ORECAP INVEST CORP., (25) McFarlane Lake Mining Limited",ON,30,0,91,name,
OMAI,TSXV,Omai Gold Mines Corp.,"(67) Omai Gold Mines Corp., (33) YSV VENTURES INC.",ON,14,0,91,name,
CONE,TSXV,Canada One Mining Corp.,"(50) GLENCORE CANADA CORPORATION, (50) VALE CANADA LIMITED VALE CANADA LIMITEE",ON,91,0,91,name,
OMAI,TSXV,Omai Gold Mines Corp.,"(44) PREMIER GOLD MINES NWO INC., (56) Evolution Mining Gold Operations Ltd.",ON,26,0,91,name,
OMAI,TSXV,Omai Gold Mines Corp.,"(49) PREMIER GOLD MINES NWO INC., (51) Evolution Mining Gold Operations Ltd.",ON,19,0,91,name,
LME,TSXV,Laurion Mineral Exploration Inc.,"(50) LAURION MINERAL EXPLORATION INC., (50) KYLE R.J.  COTE",ON,1,0,91,name,
WRLG,TSXV,West Red Lake Gold Mines Ltd.,(100) Red Lake Gold Inc.,ON,859,0,91,name,
NOB,TSXV,Noble Mineral Exploration Inc.,"(50) NOBLE MINERAL EXPLORATION INC., (50) Wayne  Holmstead",ON,224,0,91,name,
ESK,TSXV,Eskay Mining Corp.,ESKAY CREEK MINING LTD.,BC,55,6242.9,90,name,
EGM,TSXV,Engold Mines Ltd.,AGNICO EAGLE MINES LIMITED/MINES AGNICO EAGLE LIMITEE,BC,11,4294.3,90,name,
GRDM,TSXV,Grid Metals Corp.,GRID BATTERY METALS INC.,BC,11,18695.2,90,name,
TUD,TSXV,Tudor Gold Corp.,"(39.5) PACTON GOLD INC., (60.5) Evolution Mining Gold Operations Ltd.",ON,478,0,90,name,
CNC,TSXV,Canada Nickel Company Inc.,"(20) SHARON ADELIA COTTON, (15) W. JOHNSON MINING & OIL FIELD SERVICES LTD., (65) CANADA NICKEL COMPANY INC.",ON,193,0,90,name,
DLTA,TSXV,Delta Resources Limited,"(99) JOE  HACKL, (1) Delta Resources Limited",ON,37,0,90,name,
TUD,TSXV,Tudor Gold Corp.,"(99) BOUNTY GOLD CORP., (1) Athena Gold Corporation",ON,218,0,90,name,
TUD,TSXV,Tudor Gold Corp.,"(49) ET GOLD MINING COMPANY LIMITED, (35.7) IAMGOLD CORPORATION, (15.3) SMM GOLD COTE INC",ON,217,0,90,name,
TUD,TSXV,Tudor Gold Corp.,"(99) JUBILEE GOLD EXPLORATION LTD., (1) ALAMOS GOLD INC.",ON,71,0,90,name,
FG,TSXV,Falcon Gold Corp.,"(49) FALCON GOLD CORP., (51) IAMGOLD CORPORATION",ON,30,0,90,name,
DLTA,TSXV,Delta Resources Limited,"(49) JOE  HACKL, (50) JOEY CHRISTOPHER HACKL, (1) Delta Resources Limited",ON,70,0,90,name,
XTM,TSXV,Transition Metals Corp.,"(60) GOWEST GOLD LTD., (40) TRANSITION METALS CORP.",ON,237,0,90,name,
CNC,TSXV,Canada Nickel Company Inc.,(100) VALE CANADA LIMITED VALE CANADA LIMITEE,ON,98,0,90,name,
PX,TSXV,Pelangio Exploration Inc.,"(90) Silver Lake Ontario Inc., (10) PELANGIO EXPLORATION INC.",ON,40,0,90,name,
CNC,TSXV,Canada Nickel Company Inc.,"(1) ALAMOS GOLD INC. , (99) CANADA NICKEL COMPANY INC.",ON,5,0,90,name,
TUD,TSXV,Tudor Gold Corp.,"(24.5) NEW GOLD INC., (24.5) TOMAGOLD CORPORATION CORPORATION TOMAGOLD, (51) Evolution Mining Gold Operations Ltd.",ON,10,0,90,name,
FG,TSXV,Falcon Gold Corp.,"(85) KENNETH GEORGE FENWICK, (15) FALCON GOLD CORP.",ON,1,0,90,name,
DRY,TSXV,Dryden Gold Corp.,"(50) Dryden Gold Corp., (50) 2625286 Ontario Inc.",ON,1076,0,90,name,
GOT,TSXV,Goliath Resources Limited,(100) Golden Goliath Resources Ltd.,ON,54,0,90,name,
GOT,TSXV,Goliath Resources Limited,"(99) CHAMPION BEAR RESOURCES LTD., (1) Gravel Ridge Resources Ltd.",ON,3,0,90,name,
GOT,TSXV,Goliath Resources Limited,"(1) Gravel Ridge Resources Ltd., (99) Xplore Resources Corp.",ON,1,0,90,name,
CASC,CSE,Cascade Copper Corp.,"(99) DAVID RAYMOND HEALEY, (1) Cascade Copper Corp.",ON,42,0,90,name,
CNC,TSXV,Canada Nickel Company Inc.,"(99) CANADA NICKEL COMPANY INC., (1) Treasure Oakes Resources Inc.",ON,1,0,90,name,
GOT,TSXV,Goliath Resources Limited,"(1) Delta Resources Limited, (99) Gravel Ridge Resources Ltd.",ON,42,0,90,name,
DLTA,TSXV,Delta Resources Limited,"(99) PERRY VERN ENGLISH, (1) Delta Resources Limited",ON,1,0,90,name,
TUD,TSXV,Tudor Gold Corp.,(100) LP Gold Corp.,ON,94,0,89,name,
